name,g_whitep,g_websites,id,symbol,market_cap,market_cap_rank,total_supply,max_supply,circulating_supply,image,ath_date,atl_date
NUDES,['https://nudes-1.gitbook.io/nudes/'],['https://nudes.army/'],nudes,nudes,2476176.0,1460.0,9929012942812560.0,1e+16,8585552831380630.0,https://assets.coingecko.com/coins/images/24888/large/NUDES.png?1649252682,2022-05-01T17:59:57.576Z,2023-01-05T10:29:37.441Z
HydraDX,['https://docs.hydradx.io/'],['https://hydradx.io/'],hydradx,hdx,14512891.0,769.0,4372720781.85969,6500000000.0,2502672104.88628,https://assets.coingecko.com/coins/images/13929/large/hydradx_logo.png?1612877025,2023-01-28T00:00:00.000Z,2023-04-10T08:41:13.159Z
Nexa,[],['https://nxgcoin.io/'],nexacoin,nexa,21747145.0,617.0,2857220000000.0,21000000000000.0,2857220000000.0,https://assets.coingecko.com/coins/images/28729/large/200x200.png?1673689429,2023-04-02T17:45:20.485Z,2023-01-15T18:59:58.310Z
Nimiq,"['https://medium.com/nimiq-network/nimiq-a-peer-to-peer-payment-protocol-native-to-the-web-ffd324bb084', 'https://nimiq.com/whitepaper']",['https://nimiq.com/'],nimiq-2,nim,13226654.0,802.0,8886561196.0,21000000000.0,10778355272.7649,https://assets.coingecko.com/coins/images/5119/large/nimiq.png?1548329167,2021-04-12T00:43:04.025Z,2020-01-03T01:55:45.891Z
Connect Financial,['https://connect.financial/media/cf-whitepaper-biz.html'],['https://connect.financial'],connect-financial,cnfi,1029263.0,1915.0,108500000.0,,25000000.0,https://assets.coingecko.com/coins/images/13592/large/cf-logo-iconic-black.png?1644479524,2021-05-06T04:29:24.281Z,2023-05-14T01:20:31.935Z
Bolide,['https://docs.bolide.fi/'],"['http://app.bolide.fi', 'https://bolide.fi']",bolide,blid,41507988.0,410.0,9989820984.00977,10000000000.0,2094543895.58198,https://assets.coingecko.com/coins/images/25548/large/BLID_token_logo_200x200.png?1652334831,2022-10-07T10:43:27.886Z,2023-01-27T09:24:58.487Z
STFX,['https://docs.stfx.io/'],['https://www.stfx.io/'],stfx,stfx,1926941.0,1613.0,1000000000.0,1000000000.0,174511198.863354,https://assets.coingecko.com/coins/images/28631/large/stfx.png?1680832143,2023-04-22T18:10:59.731Z,2023-05-28T02:34:21.795Z
KALM,[],['http://www.am1290thegift.com/'],kalmar,kalm,11609820.0,853.0,10000000.0,10000000.0,7836274.099041096,https://assets.coingecko.com/coins/images/15849/large/kalmar.png?1660289892,2021-06-03T00:00:00.000Z,2022-06-27T16:19:56.575Z
HUSD,[],['https://www.stcoins.com/'],husd,husd,8864121.0,939.0,187817004.897379,,187817004.897379,https://assets.coingecko.com/coins/images/9567/large/HUSD.jpg?1568889385,2020-03-13T02:40:09.956Z,2023-05-16T09:54:22.926Z
GuildFi,['https://whitepaper.guildfi.com/'],['https://guildfi.com/'],guildfi,gf,17634155.0,695.0,1000000000.0,1000000000.0,295214328.740514,https://assets.coingecko.com/coins/images/20933/large/guildfi-logo-200.png?1638003537,2021-12-04T15:04:25.133Z,2023-05-26T13:00:43.372Z
Splintershards,['https://sps.splinterlands.com/'],['https://splinterlands.com/'],splinterlands,sps,8355336.0,958.0,1110156431.11071,3000000000.0,489718725.3536008,https://assets.coingecko.com/coins/images/17332/large/splinter.PNG?1627339560,2021-07-28T03:16:00.096Z,2023-05-24T15:31:30.834Z
Sai,['https://makerdao.com/ru/whitepaper/sai/'],['https://makerdao.com/'],sai,sai,21915791.0,611.0,2910956.56571928,2910956.56571928,2910956.56571928,https://assets.coingecko.com/coins/images/1442/large/dai.png?1547035520,2021-05-14T17:24:02.613Z,2018-01-27T00:00:00.000Z
ORE Network,['https://ore.network/wp-content/uploads/2021/09/ORE-Whitepaper-2.0.pdf'],['https://ore.network/'],ptokens-ore,ore,1408025.0,1753.0,1060000000.0,1060000000.0,540003420.0,https://assets.coingecko.com/coins/images/18917/large/ORE_FullColor.png?1633921977,2021-11-08T04:42:11.371Z,2023-05-11T05:54:19.582Z
Sai,['https://makerdao.com/ru/whitepaper/sai/'],['https://makerdao.com/'],sai,sai,21915791.0,611.0,2910956.56571928,2910956.56571928,2910956.56571928,https://assets.coingecko.com/coins/images/1442/large/dai.png?1547035520,2021-05-14T17:24:02.613Z,2018-01-27T00:00:00.000Z
