id,googlepdflink,cg_whitep,cg_websites,name,g_whitep,g_websites,symbol,market_cap,market_cap_rank,total_supply,max_supply,circulating_supply,image,ath_date,atl_date
dash-2-trade,,[],['https://dash2trade.com/'],Dash 2 Trade,['https://static.icoholder.com/files/1036136/f2123fbd301a3d25bcfd84dd8bf27650.pdf'],['https://dash2trade.com/'],d2t,3612343.0,1276.0,1000000000.0,1000000000.0,373500000.0,https://assets.coingecko.com/coins/images/28707/large/logo.png?1675762068,2023-03-06T07:15:35.022Z,2023-05-19T21:06:03.711Z
kishu-inu,,['https://kishu.com/whitepaper/KishuInuWhitepaper.pdf'],"['https://kishu.com/', 'https://kishuinu.medium.com/']",Kishu Inu,['https://kishu.com/whitepaper'],['https://kishu.com/'],kishu,28288807.0,527.0,,,9.683492960228464e+16,https://assets.coingecko.com/coins/images/14890/large/uVLzCoP.png?1622445866,2021-05-15T02:19:47.919Z,2021-04-23T23:08:02.648Z
revenue-coin,,[],['https://revenuecoin.io/'],Revenue Coin,['https://revenuecoin.io/wp-content/uploads/2021/11/White-Paper-V6.pdf'],['https://revenuecoin.io/'],rvc,1123192.0,1875.0,1729481687.0,1729481687.0,862441188.282,https://assets.coingecko.com/coins/images/21625/large/RVC_logo_200_200.png?1639625596,2021-12-18T08:18:42.845Z,2023-05-22T18:41:24.876Z
cargox,https://cargox.io/CargoX-Bluepaper-September-2021.pdf,['https://cargox.io/CargoX-Whitepaper.pdf'],"['https://cargox.io/', 'https://cargox.io/blog/']",CargoX,"['https://cargox.io/CargoX-Whitepaper.pdf', 'https://cargox.info/files/CargoX-Business-Overview-Technology-Bluepaper.pdf']","['https://cargox.com.br', 'https://cargox.io', 'https://cxo-token.io']",cxo,21893864.0,609.0,215119016.0,,167160147.72525844,https://assets.coingecko.com/coins/images/2580/large/cargox.png?1547738832,2021-06-09T17:48:51.410Z,2020-01-01T01:02:55.491Z
fetch-ai,,['https://www.dropbox.com/s/gxptsecwdl3jjtn/David%20Minarsch%20-%202021-04-26%2010.34.17%20-%20paper_21_finalversion.pdf?dl=0'],"['https://fetch.ai/', 'https://colearn-paint.fetch.ai/vote', 'https://medium.com/fetch-ai']",Fetch.ai,"['https://whitepaper.io/document/447/fetch-technical-introduction', 'https://www.dropbox.com/s/gxptsecwdl3jjtn/David%20Minarsch%20-%202021-04-26%2010.34.17%20-%20paper_21_finalversion.pdf?dl=0', 'https://fetch.ai/wp-content/uploads/2019/10/technical-introduction.pdf']","['https://linktr.ee/fetch_ai', 'https://agentverse.ai', 'https://fetch-ai.network', 'https://fetch.ai']",fet,232488406.0,130.0,1152997575.0,1152997575.0,1043462805.0,https://assets.coingecko.com/coins/images/5681/large/Fetch.jpg?1572098136,2021-09-08T02:24:24.858Z,2020-03-13T02:24:18.347Z
ref-finance,,[],['https://ref.finance/'],Ref Finance,['https://guide.ref.finance/'],"['https://app.ref.finance', 'https://ref.finance']",ref,2257877.0,1509.0,100000000.0,,26984095.6866806,https://assets.coingecko.com/coins/images/18279/large/ref.png?1631238807,2021-10-25T22:29:50.921Z,2023-01-02T00:25:30.607Z
sin-city,,[],"['https://sinverse.com/', 'https://medium.com/@TheSinVerse']",Sinverse,['https://sinverse.com/documents'],['https://sinverse.com/'],sin,1990493.0,1594.0,1000000000.0,1000000000.0,447756892.13,https://assets.coingecko.com/coins/images/19291/large/Sin_Verse_Logo_White_Text_White_Windows.png?1645276533,2021-11-28T03:29:56.719Z,2023-05-13T11:25:28.854Z
bnktothefuture,,['https://bnktothefuture.com/bf-token/whitepaper.pdf'],['https://bf-token.bnktothefuture.com/#!/'],BnkToTheFuture,['https://bf-token.bnktothefuture.com/pdf/whitepaper.pdf'],['https://bf-token.bnktothefuture.com/#!/'],bft,1257901.0,1813.0,1000000000.0,,329991099.3247391,https://assets.coingecko.com/coins/images/3468/large/bnktothefuture.png?1547351865,2018-05-05T19:53:48.982Z,2020-03-16T11:04:37.049Z
creaticles,https://www.creaticles.com/Creaticles_White_Paper.pdf,[],['https://creaticles.com/'],Creaticles,"['https://www.creaticles.com/Creaticles_White_Paper.pdf', 'https://docsend.com/view/nbbgsm2wymwfnjc8']","['https://app.creaticles.com', 'https://creaticles.com']",cre8,1037758.0,1911.0,1000000000.0,1000000000.0,118649451.24,https://assets.coingecko.com/coins/images/21115/large/logo-v3-small.png?1638339957,2021-12-07T18:11:14.628Z,2023-03-16T15:58:39.903Z
steam-exchange,,[],['https://steamexchange.ca/'],Steam Exchange,['https://docs.steamexchange.ca/'],['https://steamexchange.ca/'],steamx,4291191.0,1207.0,100000000000.0,,100000000000.0,https://assets.coingecko.com/coins/images/16914/large/steamx.png?1632824252,2021-10-24T17:24:49.492Z,2021-09-26T03:07:20.613Z
plugin,https://assets.ctfassets.net/ede0ajjyowtx/K5cmxUwHXaoiOSbcWbKJt/4de5807ddb43668fcf1dbbca42c82c87/Whitepaper_ChatGPT_Plugins_.pdf,[],"['https://goplugin.co/', 'https://medium.com/@GoPlugin']",Plugin,[],['https://www.goplugin.co/'],pli,2214843.0,1525.0,500000000.0,500000000.0,68913000.0,https://assets.coingecko.com/coins/images/19586/large/244800308_116216454152265_6257676145772128053_n.png?1635472714,2021-11-10T10:09:28.681Z,2023-05-21T03:30:04.967Z
ptokens-ore,,[],"['https://ore.network/', 'https://medium.com/@ORE_Network']",ORE Network,['https://ore.network/wp-content/uploads/2021/09/ORE-Whitepaper-2.0.pdf'],['https://ore.network/'],ore,1408025.0,1753.0,1060000000.0,1060000000.0,540003420.0,https://assets.coingecko.com/coins/images/18917/large/ORE_FullColor.png?1633921977,2021-11-08T04:42:11.371Z,2023-05-11T05:54:19.582Z
splinterlands,,['https://sps.splinterlands.com/'],"['https://splinterlands.com/', 'https://peakd.com/@splinterlands', 'https://www.publish0x.com/splinterlands']",Splintershards,['https://sps.splinterlands.com/'],['https://splinterlands.com/'],sps,8355336.0,958.0,1110156431.11071,3000000000.0,489718725.3536008,https://assets.coingecko.com/coins/images/17332/large/splinter.PNG?1627339560,2021-07-28T03:16:00.096Z,2023-05-24T15:31:30.834Z
husd,,[],"['https://www.stcoins.com/', 'https://medium.com/@Stablecoin_HUSD', 'https://www.linkedin.com/company/28857092/admin/']",HUSD,[],['https://www.stcoins.com/'],husd,8864121.0,939.0,187817004.897379,,187817004.897379,https://assets.coingecko.com/coins/images/9567/large/HUSD.jpg?1568889385,2020-03-13T02:40:09.956Z,2023-05-16T09:54:22.926Z
kalmar,,[],"['https://kalmy.app/#/swap', 'https://blog.kalmar.io/']",KALM,[],['http://www.am1290thegift.com/'],kalm,11609820.0,853.0,10000000.0,10000000.0,7836274.099041096,https://assets.coingecko.com/coins/images/15849/large/kalmar.png?1660289892,2021-06-03T00:00:00.000Z,2022-06-27T16:19:56.575Z
stfx,,[],['https://www.stfx.io/'],STFX,['https://docs.stfx.io/'],['https://www.stfx.io/'],stfx,1926941.0,1613.0,1000000000.0,1000000000.0,174511198.863354,https://assets.coingecko.com/coins/images/28631/large/stfx.png?1680832143,2023-04-22T18:10:59.731Z,2023-05-28T02:34:21.795Z
bolide,,[],['https://bolide.fi/'],Bolide,['https://docs.bolide.fi/'],"['http://app.bolide.fi', 'https://bolide.fi']",blid,41507988.0,410.0,9989820984.00977,10000000000.0,2094543895.58198,https://assets.coingecko.com/coins/images/25548/large/BLID_token_logo_200x200.png?1652334831,2022-10-07T10:43:27.886Z,2023-01-27T09:24:58.487Z
connect-financial,,[],"['https://www.connect.financial/', 'https://connectfinancial.medium.com/']",Connect Financial,['https://connect.financial/media/cf-whitepaper-biz.html'],['https://connect.financial'],cnfi,1029263.0,1915.0,108500000.0,,25000000.0,https://assets.coingecko.com/coins/images/13592/large/cf-logo-iconic-black.png?1644479524,2021-05-06T04:29:24.281Z,2023-05-14T01:20:31.935Z
nexacoin,,[],"['https://www.nexa.org/', 'https://linktr.ee/nexacoin']",Nexa,[],['https://nxgcoin.io/'],nexa,21747145.0,617.0,2857220000000.0,21000000000000.0,2857220000000.0,https://assets.coingecko.com/coins/images/28729/large/200x200.png?1673689429,2023-04-02T17:45:20.485Z,2023-01-15T18:59:58.310Z
